	nadmv	orient	expoz	E3	E2	E1	E0	pocetdr	paseka	geologie	humus	strom	stari
311090	500	-1	10	0	0	60	5	33	1	2	mull	olsejasan	
311091	360	-1	6	0	0	65	2	27	1	1	mor	smrk	
311092	360	-1	6	0	0	70	5	30	1	1	moder	smrk	
311093	420	1	25	0	60	40	3	24	1	1	mor	smrk	6
311094	450	0	25	70	5	90	10	31	1	1	moder	buk	20
311095	400	1	20	60	10	70	5	45	1	4	mull	buk	20
311096	500	1	7	0	0	40	3	17	1	2	mor	buk	1
311098	360	0	15	0	0	95	10	28	1	4	mull	olsejasan	
311100	460	0	20	0	0	75	5	42	1	4	mull	buk	2
311101	390	-1	15	0	0	75	5	45	1	4	mull	buk	3
311102	420	-1	15	50	5	80	15	21	1	4	mull	buk	20
311110	470	-1	6	0	0	100	70	21	1	2	mor	smrk	6
311111	580	-1	5	0	70	95	40	16	1	2	moder	smrk	20
311112	740	0	5	0	0	100	1	3	1	2	mor	smrk	10
311113	650	0	7	0	90	70	5	17	1	2	moder	smrk	15
311114	550	0	15	0	0	75	5	44	1	3	mull	buk	2
311115	520	0	10	0	0	90	10	33	1	3	mull	olsejasan	2
311116	470	-1	20	0	0	80	5	28	1	1	mor	buk	2
311117	530	0	8	0	0	40	1	33	1	2	mor	buk	2
311142	530	0	8	0	0	10	95	9	0	2	mull	olsejasan	1
311143	340	1	20	0	0	50	5	40	1	2	mull	buk	1
311144	340	1	35	60	5	70	30	46	1	4	mull	buk	30
311146	440	0	5	0	0	100	1	24	1	2	moder	smrk	
311147	490	0	15	0	0	65	5	47	1	3	moder	buk	1
311149	510	-1	5	0	0	20	95	15	0	2	mull	olsejasan	1
311150	350	1	15	0	10	90	30	36	1	2	moder	smrk	5
311151	410	-1	5	0	0	100	1	13	1	2	mor	smrk	6
311153	330	0	0	0	80	70	40	26	1	4	mull	olsejasan	10
311154	500	0	15	0	0	5	90	12	0	2	mull	olsejasan	1
311155	500	0	10	0	0	70	2	24	1	2	mor	buk	3
311156	600	1	20	0	0	20	1	15	1	2	mull	olsejasan	1
311157	430	0	10	0	30	70	5	28	1	1	moder	buk	15
311158	460	0	25	0	60	100	2	15	1	1	mor	buk	15
311159	360	0	5	0	0	30	1	40	1	2	mull	buk	
311160	440	0	25	0	5	65	5	25	1	1	moder	buk	4
311161	525	0	15	0	60	90	5	16	1	2	mor	buk	15
311162	504	1	12	0	0	10	2	19	1	2	mor	smrk	
