Lot cor	Sanq min	Bro ere	Bra pin	Veron teu	Pla med	Cen jac	Sta rec	Astrag gly	Tan cor	Med fal	Leo his	Anth vul	Cen sca	Astrag cic	Sca och	Thy pul	Sal pra	Sal vertc	Agrim eup	Pru gra	L f	Asper tin	Bup fal	Inu hir	Asper cyn	Cx tom	L t	Teu cha	Cam glo	Cor var	Inu sal	Cam Gent	Cirsi pan	Tri mon	Pri ver	Tri med	Hel gra	Cx fla 
31.575	2.603	0.524	0.077	0.884	16.771	1.152	4.801	0.276	2.665	0	0.207	1.02	4.375	0	1.889	0.198	0.144	0.135	0.034	0	0.002	0	0	0.016	0	0	0	1.051	0	0	0	0	0.19	0.025	0	0	0	0
0.08	0.72	0.002	0	0	0	0	0	0	0	0	0	0.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.307	14.118	1.169	2.092	0.345	15.887	0	3.562	0.288	1.909	0	0.67	2.571	11.34	0	0.172	0.691	0.815	0	0.074	0.079	0	0	0.141	0	0	0	0	0.954	0	0	0	0	0	0	0	0	0.103	0
0.14	0.695	0.024	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.358	0	0.679	0.503	0.682	22.033	12.677	14.031	0.166	1.955	0.027	1.06	2.764	0	0	0.777	1.145	7.11	0	0.014	0.077	0.029	0	0.043	0.015	0	0	0	1.653	0	0	0	0	0.584	0	0	0	0	0
0.105	0.772	0.008	0.006	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.85	0	0	0	0.088	23.785	4.64	6.63	0.211	2.286	0	0.13	1.412	1.09	0	0	0.5	0	11.186	0	0	0	0.059	0	0.062	0	0	0.011	0.742	0	0	0	0	0	0	0	0	0.03	0
0.103	0.437	0	0	0	0	0	0.08	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.923	6.09	1.813	0.509	0.463	15.124	5.665	6.44	0.888	3.048	1.281	0.378	1.111	4.77	0.08	1.056	0.183	4.616	6.416	0.082	0.07	0.02	0.006	0	0.125	0	0	0	0.579	0	0	0	0.017	0	0	0	0	0	0
0.07	0.392	0.01	0.003	0	0	0	0.008	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
